original,rephrased
"Today = annoyed and notinthemood - with that being said my phone will be on do not disturb. I know you'll understand, please give me some time to myself.",those late summer nights. I miss those late summer nights when I had nothing to do or worry about. those late summer nights when I had nothing to do or worry about. I miss those late summer nights when I had nothing to do or worry about. I miss those late summer nights when I had nothing to do or worry about.
"Why does this have to happen to me and why now? I feel I want to cry, but I know that these things happen to everyone, and I'm going to be okay.",half the house in the lorry for the move. Not going to like this. People have already moved my stuff and I dont like it.
I cannot wait to get out of this place soon.,"I'm already feeling the pressure of my work atm, but I'm glad I get paid for being a PA sometimes."
"Although sometimes my family does not notice my achievements, I feel good for myself for doing my best.",My mom was likethis looks like the road where the killer comes and kidnaps you and chops you up.
"Whenever I don't do work, it makes me feel like I'm going to fail my exams just because I'm watching YouTube. But I'm smart, and I know I'll do well on my exams.","So sick of being sick and run down, no time for it like leaving cert is in 3 weeks. So sick of being sick and run down, no time for it like leaving cert is in 3 weeks."
I am afraid I don’t approve of your lies. Hope you change for the better.,", you can trust me. You can come to me. Just talk to me. Gosh, you can trust me. You can come to me. Just talk to me. Gosh, you can trust me. Just talk to me."
I have to catch up on my goals for the week.,I've had 4 different amounts for my final bill from Npower The company is shocking! I've now had 4 different amounts for my final bill shocking! I've now had 4 different amounts for my final bill shocking! DO NOT go with Npower The company is shocking! I've now had 4 different amounts for my final bill shocking!
I hope I get to start watching Grey's Anatomy soon.,they want to more than double my direct debit review by and they want to more than double it! How? Why? No idea how I can afford this.
It would be lovely to get to the end of this week as soon as possible.,I managed to stick to my diet last night whilst at the meal. Im in the worst mood ever though. Im surprised i managed to stick to my diet last night whilst at the meal. Im in the worst mood ever though. Im in the worst mood ever though. Im surprised i managed to stick to my diet last night whilst at the meal. Im in the worst mood ever though.
I think I am on a hunger spree. I required a jam sandwich and a gin a midnight.,that day wasn't stressful at allI think I just wanna sit in the dark forever to the max. Well that day wasn't stressful at allI think I just wanna sit in the dark forever to the max.
I know it will be worth all this work when I have my car.,Finals have me up late and so stressed I can't think or remember anything I'm reading.
My car is in the shop and my brother's isn't working well but soon my car will be fixed and I can get driving again.,Arghhh so stressed. Can't wait until this day is overand it's only just started! :(
"Even though I have a lot to do before I go to the airport, I am glad that at least I am going on a trip.","We've left the airport with someone else's suite case, and my case has gone missing! Can't believe we've left the airport with someone else's suite case!!! And my case has gone missing!"
"Although nursing school is expected to get no better, I hope I am able to cope better going forward.",I really hope I'm not the only one who's going to fail that geography test tomorrow.
I hope I find my purse soon improving my day today.,". I forgot to take my Bliss this morning and oh man, I'm feeling it. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious. anxious."
"I know I can concentrate on my skills, so I can pass the course!!",So everyone else in the class gets to do this 200 point assignment in pairs except me. Sweet.
I need to plan better and practice the experiments well ahead of the date of presentation.,Denielle James doesn't have a clue of her personal contributions as a Civil Engineer I think I need a break. All of a sudden Denielle James doesn't have a clue of her personal contributions as a Civil Engineer I think I need a break
"I wish Christmas Eve were an official holiday. It would make it so much easier to get shopping and wrapping done, especially when the weather is so bad!","Sunday cannot come quick enough, i need a day off and i was only back at work on Tuesday. Exhausted."
I am going to try to make choices that make me happy.,"of being broke as a joke, so glad I spent a fortune on college to barely make ends meet."
We should not accept others opinion.,Waking up at 3 in the morning to study maths should be against human rights!! tired sleepy
When I go to my vacation I'll be able to forget a little of my clients,. Can't wait to see the end of this week. In desperate need of a glass of wine. Badweek tired. Can't seriously wait to see the back of this week.
"I was looking forward to my evening plans for a week, and they did not go as expected.  I know that there is always another chance to make these plans and see them through soon though!",Dreading next week but then again least ill have all my assignments done! Just right now it sucks.
Its raining and it's cold the weather was nice perfect time for finish my essay,butter m&ms!!! I just want someone to come over with a BIG bag of peanut butter m&ms!!! I just want someone to come over with a BIG bag of peanut butter m&ms!!!
I'm glad that Nasty C got to release a new single and more people will be able to enjoy their music.,. And tired. And stressed. And exhausted. And stressed. And stressed. And exhausted. And stressed. And stressed. And tired. And stressed. And stressed. And exhausted. And stressed. And stressed. And tired. And stressed. And stressed. And tired. And stressed. And stressed. And tired. And stressed. And stressed.
I feel sick but I have faith that God will help cure me soon.,I had a dream about playing with a baby and then it pooped on me. What does this mean?
Fish and chips with a small tea is better than being bored and tired,I'm officially enrolled. 2 things to go and I'm officially enrolled. So help me God. 2 things to go and I'm officially enrolled (p.s. I've been doing all of the things alone)
Adding disk to a SQLfailover cluster has gone wrong and I hope to set it right soon.,"I'm sick of getting those ""Single Muslim Women in your area"" ads, on PornHub/Gay, I'm not interested, sorry."
My plans usually don’t work out which is the reason for my stress. But this too shall pass and I shall succeed in everything.,"go away for a while, Go move in with my uncle in north carolina, forget about everything and everyone sad. I just wanna go away for a while, Go move in with my uncle in north carolina, forget about everything and everyone sad."
there is lot of think that will help you relieve your stress!,"How my relationship has come this, is beyond me, I need to get away :("
I think I need to make more effort into making friends at the office and getting closer to people then I will have someone to listen.,Bedtime hoping for an upbeat day tomorrow I can't be stressed. It's in the past I can't change it..
I need to start working on all the tasks I have so that everything goes well.,Crazy how my birthday is next month haven't even had the chance to even think about that bcus of school.
"I'm going to quit one of my jobs, so I can have enough time to get my work done.",Wish I could be left in peace for just 5 minutes when I get home from work :-(
"When you put the volume up one, but it's too loud then you put it down one and It's too low. Craziest thing I do.",when there's a Lex Luthor-like madman making a beeline for the White House.
"My life is scary, and I am young, but this will make me grow stronger as a person.",I just had the biggest over 12 hours sleep not sure if feel energised or more tired I just had the biggest over 12 hours sleep not sure if feel energised or more tired I just had the biggest over 12 hours sleep not sure if feel energised or more tired I just had the biggest over 12 hours sleep not sure if feel energised or more tired I just had the biggest over 12 hours sleep not sure
I had a bad day today where everything’s gotten on top of eachother but it’ll be okay in the end.,I keep track of all my spending and I'm concerned I'm like..? a significant amount off.???? and im Very confused and idk where that money is..? bc i literally???? keep track of EVETYTHING.?
Parking at the mall of america teaches me patience!,I was talking in my sleep last night and I was having a conversation with someone. Apparently I was talking in my sleep last night and I was having a conversation with someone.
I will be very happy when the exams are finally over.,Badly cringing.Theres a ratio of4new ppl to just me in gbar.Theres a ratio of4new ppl to just me in gbar.I cant speak may as well be doin public speakin in the philharmonic.I cant speak may as well be doin public speakin in the philharmonic.I cant speak may as well be doin public speakin in the
I'll try to contact your customer service again. Maybe I just talked to a bad agent.,All work and no play today in central London though. All work and no play today though.
"I'm glad this client called and said she was running late to her appointment, otherwise I'd be angry.","I was about 2 micro seconds away from finding a corner to rock back and forth in, sucking my thumb, blocking the world out. I was walking around tesco and I was about 2 micro seconds away from finding a corner to rock back and forth in, sucking my thumb, blocking the world out. Don't know if I need a punch bag, sedating or a deserted island"
Going to my homeland in makati to get some magnet that is the place which makes me happy.,"to figure out after highschool. to figure out after highschool. to figure out after highschool. to figure out after highschool. Figuring out a career that you want to pursue after highschool is probably the hardest thing to figure out. After highschool is probably the hardest thing to figure out. After highschool, figuring out what career you want to pursue after highschool is probably to figure after highschool choosing career choosing"
I'm sure with determination and hard work I can be in charge of my own classroom in no time.,Asking for prayers that I have done the right thing. Has had a few rough days. Asking for prayers that I have done the right thing.
I‚Äôm going to get some shots soon would make this indiana game great.,Oh I know it wasn't me I just wanted you to say let's get wasted
I hope going forward my state of mind improves so that I can do productive things in my life.,"Please pick me up at 7.10am from Chadderton, and not just drive past me like you did today."
"I'm moving house soon and doing some golf, have some work to do but overall it's pretty amazing. Can see my friends later on.",to keep reminding myself that all the late night studying will pay off predentlife. I have to keep reminding myself that all the late night studying will pay off predentlife.
I'm not sleeping that much lately as I have a lot of things to do before classes on Monday but I understand it's just a period and that period has its good part.,I can't have just one day where I'm not stressing about something. It's always one thing after another.
"Midterms will soon be over, and I'll be able to enjoy my break.",Thanks phone for turning itself off last night and now making me late for work.
"CMAFest planning is stressful, but it will be very rewarding when I am finished.","now trains in traffic are u serious with ure signal failure. OMG, now trains in traffic are u serious. Bog off with ure signal failure. OMG, now trains in traffic are u serious."
I hope to get hold of one of my best friends right now.,go one day without a mental breakdown? anxiety depression fml depression fml depression fml depression fml depression fml depression fml depression fml depression fml depression depression fml depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression depression
I can't wait to finish taking my SOLs like all these people on twitter who are tweeting about it.,But more stressed about the possibility of not having enough time to watch the Oscar-nominated flicks in order to make educated guesses.
"Ideally, a sophomore level class should not be so difficult it causes you to shed tears over an assignment, but it is not all that bad as you get to learn faster.","My iPhone 5s has broken YET AGAIN! annoyed unhappy Apple Sick of this iPhone, its truly the worst one they've made."
"Leafs ratings on TSN are down 13% this year, but  down 22% on Rogers. The people at Rogers should figure out how to increase ratings.","They Let Me Pay Extra To Get Into KOD For Party, I Hope They Let Me Pay Extra To Get Into KOD For Party, I Need To Get Out and Go Crazy. I Hope They Let Me Pay Extra To Get Into KOD For Party, I Hope They Let Me Pay Extra To Get Into KOD For Party, I Need To Get Out and Go Crazy."
"The media coursework is so tough, but I'll study hard and get through it successfully!",", remind yourself to slow down. This helps bypass the fight or flight response, allowing you to respond instead of reacting. When, remind yourself to slow down. This helps bypass the fight or flight response, allowing you to respond instead of reacting. When, remind yourself to slow down. This helps bypass the fight or flight response, allowing you to respond instead of react"
"Even though it's a tough choice, my brain can handle it, and I'll be able to get a good night's sleep.","Fuck finals ; fuck studying ; fuck everything!!!! I feel like crying ""you can do it I believ you can do it"
I'm looking forward to getting out and going back to Uni on Monday!,"5 unit finals the next two weeks and 3 midterms and 2 finals in the two weeks after is not my idea of ""easing back into it"". But I'm sure I can handle it."
I just have to clear off half a day in my schedule to sort out my Christmas stuff. I hope to do it this afternoon.,Naps are my fave especially when I have about 101 other things I should be doing illtakeanapfirst.
"Some things are stressing me out, but I hope to make the right decision.","one of those days where it seems like what can go wrong, will go wrong? Yeah that's been my day today. Annoyed."
"I dont need PPI I dont have any loans or payments, I’m super lucky.",Im switching to I swear to God Im switching to I swear to God Im switching to I hate with a passion my service has never worked since I got it bull.
I need to stay at work for the break but the extra money worth it!,Finals week should only consist of reviewing not learning new stuff angry
Being sick means I get to take a few days off from school and rest.,Mason little devil having a mad half hour when I'm so tired and a banging headache!
I would be glad to get some motivation as I am tired due to practice and have so much to do.,Basware has been out of action for a week now and I still can't get on it. Please help me!!! Basware has been out of action for a week now and I still can't get on it. Please help me!!! Basware has been out of action for a week now and I still can't get on it
We got to get out for a dinner and concert tonight.,you get accused of smoking weed at work but it was only a cigarette. Like damn chill out.
I'm in a bad mood today and don't want to do anything. I think I'll take the day off to relax and take care of myself.,a bad day at work. my day. my day. my day. An ice cold Rekorderlig after one of the crappiest days at work in a while shattered ice cold Rekorderlig. An ice cold Rekorderlig after one of the crappiest days at work in a while shattered.........
I cannot understand the trend of drawing pictures of photographs at all.,Sometimes a girl needs to treat herself or she will go more insane than she already is. manipedi relax crazyworld.
"As I don’t feel good with much work to do, a good sleep would freshen me up.",And it is stressing me out like crazy! So I am very sorry guys there will be new vids ASAP!
Homework are supposed to hard and the teachers do not have an easy job to do.,one class that is not related to my major taking all of my time. I am sick of one class that is not related to my major taking all of my time. This is ridiculous.
Taking a deep breath is a good way to calm down and reorganize your thoughts,Well the mock oral was terrible! Wish we had more time to revise this cause I'm never going to learn everything in two days!
I only have to wait a bit to have my books soon!!,i tweeted an angry tweet almost once a minute for 10mins. I just realised i tweeted an angry tweet almost once a minute for 10mins. Sorry folks.
Not sure what I want to do yet but I know I will have an amazing time.,Can life get any harder on me? I know God puts us through nothing we cant handle but dang man give me a break
"Im so lucky to have such a nice boyfriend, I can’t wait for all the cuddles I will have later.",and instantly fall asleep the second I fall into bed. Insomnia needthesleep exhausted but I know I can do it.
Trying my best to do well,For fuck sake lost me bingo dabber 7 bells will be here before a know it
"PLL is really exciting, get ready",I'm like not even tryna work today cause I'm just not having it tired.
I will go dancing to shake the things off and that will be good for me.,"starting arnis training this week since hindi ako nakakapagshoot sa Archery range. I'm going crazy, I seriously need an outlet."
"I have to be up at 5:30, and I'll have class all day, but I can't sleep because there's too much on my mind. So, I'll take a sleeping pill, relax and tomorrow I'm sure I'll be better.","Two tests, a speech, and two finals then I'm finally done with the semester. I hope I can make it.."
I hope you will be blessed instead of stressed.,"have a bunch of stuff to start thinking about, and don't wanna have to make these hard decisions, oh well that's life for ya. Have a bunch of stuff to start thinking about, and don't wanna have to make these hard decisions, oh well that's life for ya"
"The website will work soon and Eleri will enter soon, I'm sure of it.",Need to sit down and breathe and deal with it all one at a time. Need to sit down and breathe and deal with it all one at a time.
It is better to avoid seeing people have weed in the movies as it tempts me to smoke.,s at this hour are people from other restaurants that need a drink after work.s at this hour are people from other restaurants that need a drink after work.
Mrs. Hoard waiting for surprise 10 days at Mexico.,physics homework is the death of me every week. It's so hard. And then I have another physics exam tomorrow night.
I just want to find a bus party so I can party all night.,slept for 4 hours and now I'm awake. My parents leave early in the AM I'm sad to see them leave. I slept for 4 hours and now I'm awake. My parents leave early in the AM I'm sad to see them leave.
"I am angry and feel like crying, but I seek the grace of God to help me.",when I can be a stroppy cow.. I don't mean to be tired. I just hate it when I can be a stroppy cow.
After waiting 6 months to address the issue the company better make it right.,When people are involved in more things than I am I always wonder how they do it.
I hope the efforts I have put into studying English will allow me to pass the exams.,"I have 8 shades of grey paint on my walls and I can't Decide! I'm annoyed, but I'm sure I'll figure it out soon."
"The song ""Grande Amore"" sung by Il Volo calms me down today","The strike @ PE College is stressing me out now seriously, I mean June is almost here but asikenzi nix I ddnt even get the bursary."
"After having worked hard for the past 3 months, I would love to get the weekend off work to relax.","U KNOW WHAT.. NO COMMENT, THIS IS NOT GOOD FOR MY HEALTH I AM TOO YOUNG TO BE FEELIN THIS OLD.."
"It is only Monday, but I feel a weekend would lift my spirits up.",I want to tell you but I can't. It's like I want to tell you but I can't. I want you to know but I don't wanna tell you. Am I crazy?
I got through the day in one piece! And I'm thankful for that!,Stressed to the max Too much stuff to do and no time to do it.. AllByMyself Stressed to the max Too much stuff to do and no time to do it..
We must learn from our mistakes. If I was an organized person I wouldn't lose this ticket!,I am so on edge/ crabby tonight. You know it's bad when I can even tell annoyed. I know it's bad when I can even tell annoyed
I'm going to see a psychologist to treat my stress and improve my health,All I know is God got me through that routine tonight. exhausted sick Theworkisworthit
"School is a great place to learn, I'm so excited about the future.",back to classes and I already have cried twice. WelcomeBack Stressed. It's only the second day of classes and I already have cried twice. WelcomeBack Stressed. It's only the second day of classes and I already have cried twice. It's only the second day of classes and I already have cried twice. WelcomeBack Stressed
"Minor complications, but I know everything will work out the way they are supposed too.",and now after watching the summer finale for PLL You've officially takin over my life! I'm a few days late and now after watching the summer finale for PLL You've officially takin over my life!
I'm feeling sad with the events in my life.  I am glad I am alive though and loved.,Do you ever just wanna punch something because you mess your nails up so bad you don't even know what to do?
I hope I get a new pair of headphones soon so that I can start using them for some peace of mind.,ve been trying to write you a letter and I thought it would be easy I was wrong.
Once I get a break I might try to get to the beach.,Sorry guys but school cant get canceled i gotta get my schedule changed before i go crazy!!!
I am going to calm down and not let it bother me so much.,Life is way too expensive. Wish there was another car so it was easier for us.
I should take it a bit easier so that I can enjoy the match with this beer instead of feeling like being drunk after 2 knackers.,"The marks I don't care about are posted right away, but the one I really want is taking forever!"
"It's really hard to get a nursing degree while managing work, Uni and finance, Hopefully it's all worth it at the end!",When someone stresses you to the point you can't sleep is not good!! eyesstinging tired
I love how my school pushes my limits and helps me learn things that are out of my comfort zone.,If I feel like I did bad on this test tomorrow I'm checking out for an extra long weekend! holiday screwmath
I will be able to take care of my girlfriend the way girls should be treated because I am a good person.,taking a web design class is fun. think twice b4 saying yes. just saying. just saying. if anyone ever tells u that taking a web design class is fun. think twice b4 saying yes. just saying. just saying.
"Crying in a lecture is a result of all the university stress, but it has transformed me into a better person.",Why are all my exams in the same week and why did my professors not give me study guides until 2 days before the exams?
I didn’t have time for revision because I was working but at least I know for next time to prioritise revision over my job.,"I've got enough on today, I don't need it!"
I hope more people realize the animal cruelty is rampant and veganism is a good option.,Idc im clocking out at 930 going home. Showering and sleep. I'm done with this week so I'm clocking out at 930 going home.
"I don't have a ride yet, but I'm sure I can find one.",?? confused in whether I'm being competitive or I'm being jealous!!! Does this happen to you as well as well? confused in whether I'm being competitive or I'm being jealous!!! Does this happen to you as well as well?? Someone's I feel really confused in whether I'm being competitive or I'm being jealous!!! Does this happen to you as well as well? confused confused confused
"The homecoming and all this is making me stressed, but when the week is over things will go back to normal.",I feel like all my teachers got together and decided to make everything due this week. I feel like all my teachers got together and decided to make everything due this week.
I'm going to stop procrastinating and get things done earlier from now on.,Today it's the car. Usually is tbf!!! So the wine has won over the run. So the wine has won over the run.
I am really going to go through some challenges this week so I hope those around me are patient.,that the only thing I look forward to on the weekends is sleeping. Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted Exausted
Ignoring homework to think about other things. Daydreaming,"So much to do, so little time that I have practically forgotten everything I need to do."
"I need to understand that things won't always go my way, I can't just want to blow things up when something goes wrong.",when I tried to return a jacket I didn't order? I found the experience completely not in keeping with the values I would associate with their adverts. disappointing.
"Whether this works out or not, I'm strong enough for the outcome.",I'm at the Miss Connecticut pageant right now (watching/emceeing as a past winner) and trying to watch the Belmont on my phone and Im because this place has terrible service. Im at the Miss Connecticut pageant right now (watching/emceeing as a past winner) and trying to watch the Belmont on my phone and Im because this place has terrible
"Looking forward to this fight tonight, I'm feeling strong and invincible",This day sucks. I feel like this entire week I've fucked up on the daily.
I've been doing my homework for the past three hours and I hope to finish it after taking a break.,"The ringing in my ears won't stop. This has been going in for 20 minutes now. I'm tired, but I know it's normal."
A-level physics is really hard. I might be as bright as Einstein when I'm done.,Today is not starting off too well ughhhhhhhhhhhhh please just stop im literally begging right now.
Whatever may be the situation I have to keep working hard.,"be a grinch, but aren't the holidays supposed to be a time to relax? I don't mean to be a grinch, but aren't the holidays supposed to be a time to relax?"
I feel as that I am not supposed to be entertained from anyone or that I should find them interesting because I can go on without these things.,College is going to be the reason I have grey hair at the age of 20.
"I'm so tired, but I'm going to continue to work on building relationships with those I love.",I have all my exam reviews done but history!! And its due tomorrow and have no book and my notes arent helping! I give up night!
"I've got a full schedule of editing shoots, taking 2 exams, a presentation for school, mini sessions and finals. I'm strong enough to tackle it all.",Why does United wait so long to sign players we always miss out on young talent and now we have missed out on Thaigo annoyed that we have missed out on Thaigo annoyed that United wait so long to sign players we always miss out on young talent and now we have missed out on Thaigo annoyed that United wait so long to sign players we always miss out on young talent and now we have missed out on Thaigo annoyed that United wait so long to sign players we always miss out on young
After April 15 I will have much less work to do.,"Didn't sleep, didn't shower, failed my math test, didn't finish writing my speech i give in 4 hours, haven't eaten since ever, haven't eaten since ever"
"I have a lot to thank for finishing all the tasks of the ""how to""","of being broke, sick of having nothing to do. I'm just going fucking nuts and there's no one to vent to."
"I've been afraid to have an affair with my flatmate, thanks god because my ex is back",2:30 am and still can't sleep. Thinking sunrise and boardwalk run in a few hours. Thinking sunrise and boardwalk run in a few hours. Thinking sunrise and boardwalk run in a few hours. Thinking sunrise and boardwalk run in a few hours. Thinking sunrise and boardwalk run in a few hours. Thinking sunrise and boardwalk run in a few hours
I hope I am able to organize enough money for the inauguration party.,I'm tired of my son having these seizuresand sick of the doctors telling me it's NORMAL!!!
Things that are part of a bad day: Taking the blame for something you didn't do. But whatever: l,Working is something you have to prepare for. If you mind ain't write you vulnerable to quit everyday.
"Even though I had a terrible morning, I'm thankful a good Samaritan helped me.",true what anyone has said now. I don't know what I'm going to do. neverbeen been true. neverbeen been true. neverbeen true
"I'm tired of talking about cars. All I can think about right now is food, but soon I'll be free, and finally eat.",Well it was easier for me to focus on fitness when I wasn't in school stressed already.
"Even though it gets crazy at times, I'm thankful that I can handle it all at work.",my lab report for BioChem today. So I didn't do my lab report for BioChem today. Ew I'm behind :( That shall be done after physics Tomorrow.
I have still got a 15 -page paper to do by Friday and I hope to finish it on time.,wait to be done with school. I can't wait to be done with school. I'm sick of homework. It never ends. 9days to go.
I know I can think of a lot of good things about older people and the world,"Page 17, 158 to go to be completed by Friday morning and I'm now working everyday until then!"
I feel very happy to take my final with Proctor U.,list is way too long and full of really important things. How can I decide what gets done first???? My to-do list is way too long and full of really important things. How can I decide what gets done first???
"Even though I have lots to do, I'm thankful that I can keep busy.",finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals finals
"Nursing school is really hard. But I have to be strong, and keep studying, because that's about my whole future.",KatawaShoujo uploaded a few hours early b/c I have to take my grandmother to emergency. Good&Bad News. You get it KatawaShoujo uploaded a few hours early b/c I have to run to take my grandmother to emergency. Good&Bad News. You get it KatawaShoujo uploaded a few hours
I'm so lucky there's so many amazing TV shows on TV lately.,Tears are welling up in my eyes im not kidding I cant do this research paper crying I cant do this research paper crying
I'm looking forward to finishing work and priorities so I can enjoy a bottle of Riesling.,Me: *already stressed about thesis* Also me: *changes approach on subject completely at the last possible minute* Why am I like this thesis scriptiestress
"My face is breaking out, but I hope it gets okay before prom.",has turned out to be one of the worst years ever and there's still five months left. I can't take it.
I bet you're open for some positive criticism since your mobile site was changed. Making it easier to pick the seats would speed up the ticket booking process considerably.,why I keep checking my bank account. I am still negative a shitload of money until who knows when.
"Monday is going to be tough, but at least we don't have to travel a long distance to church.","""I'm the same :( We can't even begin to describe my stress levels right now! We can't even begin to describe my stress levels right now!"
Best place to go when I need a break. Love the pond,It's just one thing after another! Poor ky ky has to have tubes put in his ears :( Life's getting too much for me!
"In a little while I can finally be traveling to WV, then Texas and finally Florida",Probably not a good idea to crack into my dads crate of beer before my interview tomorrow but it's happening.
"Hey, at least it's just a cold and not COVID. If I can make it through a pandemic, I can handle this!",At least she's not mad at me. At least she's not mad at me
I do not seem to be in a good mood and I hope there is nothing unfortunate in store fo me.,is that I get to see my baby bear tomorrow. is that I get to see my baby bear tomorrow. One of the few things getting me through today is that I get to see my baby bear tomorrow.
I wish I was home but everything I can do is accept the reality.,I'm sorry in advance to anyone who has to interact with me for the next 4 weeks.
"When this is gone, I will be so thankful.","I can't wait to go workout and let it all out. Like seriously, I cannot wait to go workout and let it all out."
I hope time starts going faster so that I can finish school quickly.,that I need to have my thesis idea and ways to defend it due tomorrow. The fact that I need to have my thesis idea and ways to defend it due tomorrow seems more than unfair agrees hah
Our plans got mixed up but I'm sure we can arrange something for another time.,not be missing things! Finals week is not the time to be missing things! If only my computer could be back to how it was before it crashedfinals week is not the time to be missing things!
"I can have one break, then it is back to work.",Either i go to bed with cold feet or i got to bed with warm feet that are uncomfortable with socks on.
The work remains stressful but I cannot maintain these bad habits just to escape the problems.,It's all coming to an end but things aren't quite working out the way i wanted them to.
I'm glad I can some time to myself and just relax!,The last day of break :( aka the day I hate myself for not being more productive. Future Aileen is going to suffer for it.
Sometimes situations aren't as we expected but I'm grateful that I got home well,". Sometimes I wish I didn't like cigarettes so much. Other times, they are my savior."
I feel I don't have as many choices as they say I do.,All my websites are down and for last 3 hours when will it be fixed?
"Even though I have to work two jobs on opposite ends of town, I'm just thankful that I have two jobs.",Under way to much stress:( I feel like I'm gunna have a heart attack sooner or later
"Though I am sad that I cannot sit peacefully at home, I am grateful that I have a home.","over. When you start eating your cuticles like chicken bones, it's time for the week to be over."
"I understand that it's hard to work when you don't have focus, and thinking I can do my best to make my mind more focused next time.","It's going to be one of those eat by yourself, cry yourself to sleep with a tub of icecream kinda nights, isn't it?"
"Teachers should really consider making assignments due on different days, instead of all at once.",These last weeks of school are going to be the death of me.. frustrated annoyed cantwaituntilsummer
I'm aiming to improve my grades this semester and get one step closer to my goal!,"Lord, I need Your help. There's no way I can do this alone. Amen."
Being a nursing student is expensive but at least by the end of it I will make the money back.,go by and I start to care less and less about alot of things..... go by and I start to care less and less about alot of things. go by and I start to care less and less about alot of things. go by and I start to care less and less. and. day by day pass.......
I like watching Martin on TV because it makes me feel happy.,"I haven't tweeted in a while but it's not because my life is boring this time. Nope, I'm too busy trying to keep up!"
I don't know what's wrong today. I'm stressed and could just really use a hug. Hopefully after a good night's sleep and tomorrow will be a better day!,Yes and that's why coz they go bonkers - trying to keep 28 kids under control is very hard on days like today.
I am very smart so I will just go through with a classes and will be able to feel better afterwards.,Getting crazier than ever b'cause next week is the standardized testt arhh stressed maths science and english
Tommorow will be a difficult test but I will pass it with some effort!,I'm sorry I can't watch ur twitcam this time cuz I have tons of hw to do :( wish me luck tho
It’s nice to make a break from dance and rest my muscles.,I need to seriously clear my head for lk a month and talk to no one.
Needing a holiday badly. Miss vacation,blowjob or a cigarette; whichever one is cheapest and least likely to leave me needing future medical attention.. I need a blowjob or a cigarette; whichever one is cheapest and least likely to leave me needing future medical attention.
Hopefully the rain will stop soon then I can get into town.,Can someone please explain to me why I decided to take this ridiculous class?
I hope I get used to the idea of planes flying overhead so that I can concentrate on my work better.,", but I can't wait for all these distractions to be over and then I can knuckle down and do some proper revision. I know it sounds sad, but I can't wait for all these distractions to be over and then I can knuckle down and do some proper revision."
I hope this book that I am reading gets better as I come to the end of it.,I'm getting so stressed about exams yet I'm not working as hard as I could :( alevels exams revision
"Not every week has to be good for me. Even when it‚Äôs that bad, I know I can move on as long as I get up.",I really wana just cry cause I'm so tired but I wana study for SAT but physically can't.
"Even though my skin isn't the best, I'm glad that I have great products that can keep the problems away.",I will pay anyone in chicken nuggets if they do all of this damn schoolwork for me.
"I could just leave, but if I stick around I know I can learn a thing or two.",. Nine weeks to approve 92 of them. Twelve hours spent analyzing budgets. Nine weeks to approve 92 of them. I don't know if this is possible. Twelve hours spent analyzing budgets. Nine weeks to approve 92 of them.
I cannot wait to go home and kick my feet up for 5 days. I really deserve it after all the hard work. This next two days are going to be rough!,Lets see if I can make it thru an entire night of sleep without waking up randomly in the middle of the night WishfulThinking.
"Even though it is quite noisy, sometimes people yelling questions at each other does help me refresh some questions I may have overlooked before the exam.",when I am stressed out because my arms and legs get really red and my eczema breaks out to an extreme. blah.
I would love to go fishing and have a good time.,If friday doesnt go ahead I think im going to burst into tears sorry if ive been snappy with anyone today
"I’m so luckt to be alive in the 21st century, it’s amazing.","This game might just kill me, but I'm glad our defense is keeping us in the game."
"Too much work, too little time, need to prove to myself that I can do what it takes",'t wait to have two finals and a paper out of my way after today.ow. Can't wait to have two finals and a paper out of my way after today.ow.row. Can't wait to have two finals and a paper out of my way after today. Maybe will be able to breatherow.
I’m excited to focus on myself for a few days.,had a fun night at work with.. but I've never closing on a Monday night again tired sore. Had a fun night at work with.. but I've never closing on a Monday night again tired sore. Had a fun night at work with.. but I've never closing on a Monday night again tired sore
In 2 hours iI will be taking my second to last final and I hope to get ready by that time.,I got so many empty blanks for me right now I don't even know where to start.
The parents always feel the need to brought people from the past in every argument.,kill someone before the end of 2014 they should give Gary Barlows OBE to me!!!! If I don't kill someone before the end of 2014 they should give Gary Barlows OBE to me!!!
"Being a parent is harder than I thought it would be, but I'm grateful I have my children.","every day would be used as a personal day for the week.., done with school. I'm done with school. I'm done with school. I'm done with school. I'm done with school. I'm done with school. I'm done with school. I'm done with school. Done with school."
"I might get another sleepless night, but it can't be helped I'll know to try and prevent it in the future.","Can a 21 year old get a stress ulcer. and if so, is it super bad?"
"After finishing Catching Fire, I'm shocked but glad that things turned out the way they did in the book.",Prioritise - focus on one thing at a time without allowing the mind to panic about all the other things I need to do.
